Rainfall,Temperature,Fertilizer,Pesticide,Yield
848,37,152,8.58,7.58
517,24,243,5.23,7.94
1900,26,215,5.52,11.37
1448,16,152,2.12,8.99
1457,27,139,4.47,9.05
883,22,223,6.79,8.26
863,16,171,8.02,6.04
1597,34,291,2.95,13.98
1895,15,192,2.24,10.51
1831,19,275,6.97,12.96
1695,23,155,1.02,10.89
1456,31,168,2.61,9.06
1915,23,221,1.26,11.55
1336,25,98,2.5,7.2
1720,29,153,2.63,10.25
641,38,252,4.49,9.65
763,20,110,4.62,5.74
1491,37,244,8.87,11.95
1733,17,172,5.59,10.19
1609,31,183,7.51,10.7
1610,19,58,1.94,7.04
1336,26,55,3.03,6.49
1836,32,122,7.33,9.78
1848,28,152,1.48,10.89
1151,35,272,5.38,11.06
1304,38,209,6.39,9.82
898,25,90,6.42,6.19
312,23,163,1.21,5.72
201,16,253,3.9,6.34
841,26,57,6.73,5.04
419,17,121,2.34,4.68
1789,17,227,7.26,10.36
1054,15,141,7.71,5.77
1959,22,111,9.84,8.82
1448,36,133,2.89,9.95
584,22,111,8.43,5.02
1626,25,160,5.68,9.98
1861,23,300,4.36,12.62
1353,19,176,2.1,8.25
1276,28,56,7.62,6.3
1907,17,252,3.12,11.5
929,35,133,4.34,7.56
1895,19,257,1.56,12.29
1933,19,181,8.21,9.87
1639,33,183,7.9,9.8
446,28,107,7.6,4.68
1035,40,71,3.69,7.53
1662,18,203,2.56,10.57
402,39,176,6.74,7.5
1407,27,52,5.47,7.09
322,24,176,2.6,6.06
600,39,90,7.17,6.21
966,32,237,9.92,9.18
493,22,155,7.72,5.62
479,22,63,7.66,3.22
1083,21,252,9.55,9.04
1833,22,259,2.83,12.35
397,28,295,6.09,8.89
1181,33,61,9.82,5.78
1734,20,136,2.49,9.32
951,15,61,7.3,3.82
343,37,190,6.27,7.25
808,29,74,6.28,5.25
1424,15,94,7.28,7.48
1347,39,292,9.37,12.12
386,31,171,8.04,6.65
1549,15,196,1.51,10.67
663,29,104,8.67,5.11
1572,37,287,3.03,13.33
1994,16,149,4.39,9.21
859,28,222,5.16,8.91
963,35,185,5.33,9.74
1154,22,270,4.92,9.82
602,22,168,9.44,5.54
1569,33,102,7.35,8.61
1734,21,232,6.68,11.88
346,33,81,1.45,5.54
1371,20,100,9.14,6.35
1063,20,93,9.18,6.46
1934,17,131,8.02,8.15
688,21,247,1.06,9.65
1128,33,195,1.52,10.2
1863,22,260,3.03,13.13
750,24,199,2.18,7.11
537,34,86,4.59,5.68
1071,29,145,9.3,7.44
840,29,105,5.25,5.91
672,15,154,1.12,5.54
350,34,108,3.54,5.83
1638,21,180,1.4,10.35
1521,18,205,1.33,10.62
1834,20,251,3.48,11.52
462,39,292,3.48,9.93
1987,15,84,8.08,7.34
343,19,238,9.77,7.1
545,37,142,4.34,7.04
823,15,231,4.86,8.16
1216,18,240,8.6,9.41
1795,36,256,3.41,13.77
1080,16,146,2.41,6.78
201,24,184,8.68,5.68
1096,19,125,1.42,7.15
1527,24,98,6.58,8.86
453,15,143,6.06,4.4
1875,36,262,4.11,13.92
652,20,208,3.84,7.51
1260,27,235,7.95,9.99
1383,29,238,1.78,11.08
1214,18,73,3.13,6.9
208,27,197,7.59,6.1
1456,38,86,5.93,7.77
1322,34,53,2.15,8.14
1882,38,269,8.94,13.69
1015,29,157,4.54,8.34
407,22,175,8.45,5.07
1354,19,69,8.09,5.67
603,29,237,6.62,7.27
351,18,201,5.45,6.2
253,26,99,9.82,3.16
1343,27,226,2.3,9.62
1896,16,228,7.53,11.41
827,33,145,2.72,8.13
786,33,154,4.04,7.51
1848,18,213,3.78,10.8
1643,18,299,9.52,10.19
1645,40,166,9.71,10.94
303,25,147,2.65,5.24
453,19,277,1.2,8.46
1450,34,115,7.48,7.38
1335,25,128,4.76,8.58
709,24,211,1.8,7.71
1696,22,213,7.15,9.7
298,20,55,5.91,2.83
352,20,88,9.82,3.14
1113,22,219,3.05,9.71
1077,37,292,4.64,11.36
537,29,164,5.88,7.3
1929,40,235,8.13,13.04
1021,28,295,5.94,11.06
1386,25,174,6.52,8.98
1943,26,61,3.04,9.46
1156,40,180,8.62,8.83
1904,27,286,4.86,13.16
360,22,67,2.27,3.75
1803,32,89,6.98,9.75
1000,39,70,2.94,7.98
597,15,192,1.88,6.64
1500,29,274,8.76,10.78
1015,22,148,5.14,7.46
1727,25,75,7.74,7.07
1615,26,57,3.62,8.52
1358,26,149,8.08,8.09
1418,18,289,2.01,11.26
600,30,271,4.2,8.86
839,18,136,9.8,5.25
1256,19,91,8.15,6.66
887,38,221,5.48,9.49
659,19,63,4.06,4.37
1154,22,127,8.85,6.38
669,24,51,5.9,4.79
1598,31,168,7.83,10.33
1245,40,86,7.79,7.77
949,23,118,1.16,7.56
1893,36,215,2.14,12.59
237,33,286,6.94,8.77
429,28,90,2.45,4.27
1588,22,111,3.3,8.59
762,23,295,9.52,8.94
637,36,109,6.04,6.44
1999,25,174,7.76,10.76
1506,37,160,6.02,10.14
226,15,63,5.97,2.85
425,28,297,1.85,8.99
1500,19,280,4.09,11.5
997,35,266,3.54,11.37
1832,40,133,4.52,10.2
483,28,179,8.19,6.06
1078,18,280,4.35,9.47
1159,36,119,5.07,7.68
1704,37,194,4.58,11.26
652,39,172,1.84,8.85
1219,15,138,4.97,7.84
1015,36,298,2.76,11.66
858,37,77,2.68,6.64
1739,33,115,1.85,10.37
746,22,212,4.21,6.64
1415,29,278,7.82,10.82
1272,35,54,3.49,6.19
1735,29,242,3.81,11.45
216,23,217,6.78,5.77
1395,35,253,2.76,12.51
1443,23,233,9.07,8.54
357,24,213,5.68,6.47
676,34,94,5.03,6.43
1269,39,200,6.02,10.53
1596,35,96,2.49,9.99
717,40,80,6.52,6.38
298,23,188,4.27,6.25
1968,17,59,9.07,6.62
1260,34,244,2.52,10.63
479,39,167,5.56,6.45
1572,40,63,6.38,8.82
696,25,129,1.3,6.71
501,20,251,4.27,7.85
380,16,142,7.59,4.06
806,21,59,8.38,3.95
1322,32,125,3.82,8.75
899,16,143,8.19,5.68
1192,31,154,9.71,7.65
1339,25,50,8.71,5.89
390,26,182,2.06,6.35
452,33,69,7.66,4.18
1180,36,57,3.88,6.56
1127,38,220,9.9,10.06
1384,39,253,5.37,12.57
1479,21,50,2.1,6.89
1546,34,106,7.53,8.84
327,20,113,3.91,4.72
217,35,167,9.97,5.98
1958,38,261,9.82,12.73
765,15,77,6.91,5.2
769,31,170,2.17,7.59
1546,25,156,7.18,9.36
885,36,214,1.84,9.9
825,40,224,1.26,9.05
1511,32,278,8.41,11.63
1053,35,253,2.89,10.76
1886,31,214,4.41,12.04
1161,21,98,9.76,6.3
1862,31,290,4.03,13.84
354,34,169,3.67,6.79
689,23,93,9.26,5.02
1609,31,105,2.0,9.18
984,34,205,7.84,8.48
1327,36,160,9.89,9.09
1616,36,256,9.11,12.31
445,22,183,6.87,6.62
1399,31,157,3.83,9.7
1262,21,300,3.29,11.8
1700,15,238,8.37,10.43
1905,27,197,8.92,11.35
958,37,163,5.73,8.99
737,33,127,3.2,6.96
1120,38,179,2.02,10.14
607,33,250,1.78,8.81
724,31,86,7.47,5.8
1027,27,69,4.78,6.43
1729,30,75,9.15,8.7
1102,22,78,7.66,6.27
235,33,50,2.72,4.61
884,32,168,6.52,7.87
219,15,84,4.92,2.87
520,28,247,6.2,7.98
1999,33,278,7.64,13.57
711,29,294,8.26,8.6
599,32,108,8.59,6.32
853,16,118,3.29,5.89
1171,36,210,1.28,10.26
670,31,290,7.65,8.26
1366,32,228,1.96,11.0
1315,20,255,3.83,10.16
1577,33,61,1.03,8.04
1033,18,283,7.14,9.15
926,15,69,2.5,5.09
1053,22,230,6.9,8.53
250,37,291,9.93,8.82
1888,21,265,1.65,12.1
1921,17,300,1.69,13.03
774,24,92,4.06,6.27
1413,24,175,8.8,8.76
1348,33,275,2.94,12.07
349,28,266,4.24,8.33
513,16,99,1.62,4.64
769,15,78,7.87,4.25
1565,37,234,4.67,11.58
504,37,88,7.83,5.52
1915,32,272,9.13,12.69
881,21,233,3.09,9.45
1037,22,288,8.27,10.21
1277,15,220,1.53,8.55
1202,39,227,9.09,9.66
643,37,200,6.86,8.14
812,17,221,8.87,7.13
1192,38,87,1.0,8.16
463,37,133,2.52,7.08
1276,22,200,4.51,9.29
1795,36,177,4.42,11.52
1203,39,175,3.04,10.65
1843,29,94,4.43,8.59
204,19,101,2.16,3.99
1326,17,129,4.71,7.16
1419,33,227,8.22,11.33
973,15,283,5.31,8.14
1076,29,173,1.16,7.81
1191,22,168,4.79,8.37
1083,16,57,1.24,6.11
1573,17,291,9.7,11.32
246,38,134,2.15,5.84
1066,28,178,7.37,9.01
1022,38,296,9.75,10.44
1135,28,57,8.43,6.6
855,25,206,7.29,7.41
468,30,145,8.56,5.67
569,18,151,9.84,5.5
835,34,54,6.59,4.91
1329,19,288,6.03,11.4
1893,36,135,6.65,10.42
1882,35,224,5.79,12.42
856,28,83,6.72,6.38
319,37,242,5.05,7.86
1030,30,104,2.97,7.8
1827,32,168,2.08,12.01
1281,21,267,1.62,10.37
1569,24,220,3.37,11.37
940,21,251,1.42,8.5
1697,15,207,6.1,10.02
316,37,163,3.55,6.2
990,35,259,8.42,10.58
1350,33,194,1.67,10.83
1616,30,75,3.04,9.48
1212,33,185,7.57,9.93
1864,18,96,6.39,8.23
1281,32,281,1.58,11.32
833,16,162,8.9,6.41
712,15,125,8.9,4.92
1974,29,268,3.97,13.98
1001,19,121,4.06,5.45
1319,34,138,9.9,9.54
1861,25,95,6.64,9.08
1341,24,245,5.78,9.86
759,16,82,8.54,4.71
1824,17,50,3.57,8.12
687,37,196,4.86,8.51
1460,37,80,3.41,7.72
1096,26,257,8.1,9.55
1495,34,191,6.16,10.93
1412,19,102,6.93,7.35
903,19,97,3.27,5.76
1670,20,118,2.98,9.33
780,23,154,5.4,7.09
989,16,139,7.64,6.67
1060,35,239,5.73,9.98
446,26,269,1.29,8.42
1299,17,243,8.82,8.39
353,34,291,1.58,9.31
1879,40,241,9.6,13.16
1658,36,247,1.23,12.57
1196,26,112,7.25,7.41
1309,38,122,1.74,9.79
896,31,210,9.2,8.63
1508,24,218,5.18,10.52
1443,38,138,2.24,9.23
1292,28,225,4.07,10.05
1270,37,62,2.48,8.63
1208,31,122,2.54,8.34
293,32,294,9.53,9.31
1973,33,126,5.01,10.22
1157,31,208,8.1,9.42
1211,28,282,6.76,10.65
652,23,252,7.09,8.42
1427,22,117,2.19,8.61
1111,16,147,3.11,7.54
417,27,174,8.08,6.6
673,39,151,9.74,7.18
631,21,287,3.36,8.88
540,23,181,3.44,5.86
750,36,151,5.26,7.94
1835,36,68,9.85,8.85
1512,25,247,3.42,11.1
1477,28,275,4.66,11.61
1957,18,131,9.02,9.01
556,40,190,1.03,8.45
222,40,282,1.36,9.11
1985,27,72,6.44,9.03
721,16,132,9.17,5.41
1981,37,158,3.15,11.36
1323,19,124,5.23,7.25
1001,25,178,5.05,7.96
1403,20,137,5.26,8.03
1446,32,103,6.6,8.23
961,35,248,5.23,10.45
1882,24,138,5.03,9.0
641,18,262,5.27,7.34
1831,23,192,6.32,10.64
968,20,114,5.83,5.9
1215,16,125,8.69,7.0
1548,31,299,1.45,13.54
715,19,248,8.5,7.89
1239,39,192,8.6,9.28
991,20,198,3.56,8.7
535,40,196,5.17,8.31
1982,26,109,4.95,8.97
457,37,142,2.97,6.17
696,35,266,4.57,10.51
1095,24,210,1.4,9.94
359,36,98,3.5,4.31
1698,35,273,8.35,11.84
1051,39,290,3.56,12.29
1887,20,84,8.36,8.1
889,22,221,5.78,8.62
1898,16,151,8.92,9.07
579,26,267,6.17,8.87
1768,27,60,1.27,8.54
1156,39,148,7.08,8.62
890,35,249,1.4,10.84
1650,21,159,5.06,9.41
1836,24,255,9.36,11.92
1491,27,123,2.49,8.92
1800,31,243,4.51,12.05
1640,40,223,7.57,12.63
1391,35,58,8.94,7.42
1266,40,52,7.04,7.16
1779,28,134,3.32,10.56
484,16,75,7.07,2.86
596,36,121,3.67,7.84
211,25,97,7.47,3.74
1830,15,243,9.59,9.96
1525,33,247,7.49,12.36
1476,35,205,8.77,10.22
698,18,166,1.02,6.87
953,33,270,7.46,10.51
234,40,203,8.47,7.71
926,35,202,1.37,9.63
1048,25,61,8.84,5.16
289,22,182,3.31,6.05
975,25,275,6.99,9.52
804,18,97,8.2,5.1
1169,31,86,6.96,7.83
1825,21,256,1.83,12.47
1221,22,93,6.37,6.75
617,17,277,5.95,8.53
314,36,64,9.1,4.6
816,16,92,4.64,4.57
1419,37,225,3.89,11.35
1025,29,136,7.75,8.62
1724,38,119,4.71,10.73
1849,36,95,6.81,9.39
1716,36,291,6.82,12.86
1298,19,157,8.99,7.34
612,38,172,6.39,8.11
1599,15,220,5.52,10.65
1643,40,286,2.25,13.92
928,18,70,2.04,5.5
1500,29,200,2.39,10.36
1220,34,156,2.55,9.41
960,33,296,6.74,10.36
875,17,129,7.67,4.83
1617,34,96,5.77,9.73
656,25,166,8.46,5.94
1119,31,173,9.92,8.14
391,27,192,8.38,6.66
938,25,74,7.25,6.29
1912,16,85,5.79,8.27
1322,23,252,5.04,9.75
1771,40,100,1.76,10.19
1177,16,64,4.59,5.29
1208,35,117,9.19,7.83
295,23,70,8.27,3.91
1887,23,190,2.94,9.74
862,22,263,5.2,8.88
1413,31,68,8.35,7.0
1959,15,83,1.61,7.95
236,39,127,4.49,6.21
1592,25,174,8.67,8.68
1918,22,245,4.64,11.3
1748,24,289,1.7,13.2
478,39,166,5.88,8.04
416,21,101,8.76,4.03
1066,17,287,6.31,9.06
1072,17,76,3.04,5.44
1496,32,206,4.46,11.23
261,19,288,5.05,7.62
795,26,205,6.21,7.89
928,26,84,7.83,5.92
1565,33,185,1.89,10.83
596,20,193,9.01,7.12
898,16,155,1.11,6.59
1242,26,213,4.33,9.2
376,33,207,1.25,7.09
1835,19,195,4.54,10.2
595,26,51,5.73,3.77
644,31,226,5.61,8.48
1456,31,126,2.49,9.13
275,24,181,6.81,5.14
464,39,139,1.4,7.45
654,37,138,7.86,7.65
917,31,143,9.52,7.32
934,29,252,4.06,8.48
1607,26,56,5.66,8.45
1787,30,144,4.41,10.57
1050,38,157,1.06,10.2
1729,33,123,4.47,10.39
1590,22,88,8.13,8.12
343,35,190,6.36,7.1
1084,31,208,1.91,9.57
1292,37,120,8.62,8.56
1322,19,240,5.78,9.35
595,36,105,8.58,6.12
1248,30,290,6.22,10.01
1147,20,219,6.04,8.84
1090,22,238,1.95,10.27
1692,39,91,2.51,9.81
1707,32,233,9.75,12.23
1788,39,85,3.06,9.75
1374,26,133,9.8,8.38
1367,29,245,5.79,10.3
768,40,167,2.22,9.1
1262,23,56,1.89,6.67
308,27,103,2.88,4.75
1916,40,178,9.33,10.29
1265,29,221,4.73,9.93
1409,24,169,4.56,9.18
1134,30,222,3.82,10.27
597,21,155,2.32,7.12
1446,31,96,5.39,9.22
833,37,172,2.17,9.31
1356,40,190,8.52,9.93
1386,35,168,4.33,9.73
1438,36,199,4.37,11.11
932,40,167,5.27,9.07
434,21,70,5.0,4.7
857,28,263,9.95,10.32
950,29,269,5.91,11.09
787,35,186,1.79,9.45
1232,21,75,6.46,6.49
1297,23,58,2.36,7.33
1153,33,64,1.28,8.08
691,30,59,9.74,4.61
1112,22,265,7.96,9.33
1476,32,171,9.82,9.04
1453,37,170,5.3,9.75
1742,32,174,5.79,10.0
1397,34,219,2.52,11.16
1876,21,121,3.22,8.91
1391,17,201,8.55,8.31
369,32,257,4.21,8.74
1616,24,98,8.44,7.97
1145,21,203,7.38,8.65
994,31,140,2.59,8.69
833,28,86,5.57,6.33
1417,38,117,7.1,9.68
1740,17,99,3.12,8.29
228,26,201,8.48,6.74
1388,27,68,5.9,7.27
1645,16,149,2.49,9.03
538,17,109,6.25,5.26
1871,19,216,10.0,10.02
1719,25,251,2.35,12.95
1588,22,138,8.35,8.31
1565,40,195,2.87,10.9
699,37,196,8.04,8.5
1880,37,213,7.61,11.91
710,26,251,3.7,9.87
1550,21,274,3.93,11.2
416,29,232,8.13,7.55
1524,38,291,5.15,12.2
1355,31,118,7.58,8.55
1293,18,224,2.33,9.18
1475,36,98,8.67,8.74
1638,39,276,7.4,12.6
644,27,157,9.16,5.29
1075,32,275,2.19,11.13
1405,15,210,6.34,9.02
366,30,168,6.39,6.66
290,27,198,4.18,7.35
913,24,258,5.13,10.26
1754,26,199,1.34,11.62
238,16,225,7.71,5.86
1349,37,86,5.94,7.42
1674,17,192,1.52,10.17
372,24,212,7.13,6.67
852,16,269,5.2,8.6
953,37,248,1.31,10.96
1443,27,209,9.73,10.26
1861,27,60,9.54,7.58
1281,32,187,5.62,9.16
1883,17,250,1.84,11.76
675,21,127,7.79,5.16
655,28,126,5.43,5.36
1028,34,234,3.72,9.61
1094,31,202,5.42,8.64
1584,35,51,5.7,8.61
1224,26,113,6.06,8.26
586,39,84,4.97,5.51
547,30,56,6.45,4.79
389,38,134,9.27,6.4
704,26,195,4.26,6.92
1414,29,116,7.53,8.21
1731,39,91,9.05,10.49
1592,24,167,5.1,9.86
1632,39,174,4.99,10.87
1023,21,216,6.42,8.15
1128,34,218,6.32,8.82
1133,19,290,8.26,10.13
1340,15,252,5.29,10.7
333,31,280,9.97,7.68
257,17,73,1.54,2.47
1779,27,237,1.03,11.8
884,28,95,6.76,6.56
871,38,68,3.69,6.43
372,32,117,3.16,5.29
1014,18,267,3.81,9.45
1372,32,151,3.3,9.48
279,19,91,1.28,3.35
1085,39,81,9.74,6.91
1436,30,216,2.99,10.48
402,15,158,7.61,4.48
963,35,287,7.86,10.13
1452,28,85,9.36,7.83
1899,29,281,1.27,13.19
1450,23,278,8.85,9.87
1882,29,146,5.75,10.44
1755,31,213,6.69,11.7
1664,39,180,6.8,10.63
1625,38,122,8.38,9.24
246,18,185,4.0,5.15
1456,26,146,7.6,8.43
1528,40,172,5.76,11.2
1749,19,119,8.14,8.28
1366,19,218,9.91,9.41
1638,25,280,2.81,11.75
1736,20,245,9.95,10.52
1596,21,62,1.81,8.0
1789,38,98,1.02,9.86
1482,28,109,1.4,9.23
855,38,179,4.08,8.46
670,25,237,6.7,7.92
1170,27,54,1.62,7.42
1235,16,221,1.05,9.08
1553,39,76,9.43,8.43
935,21,209,8.4,8.13
983,34,198,8.28,8.91
1167,18,57,8.96,5.31
557,22,279,7.3,8.25
1171,34,249,1.94,10.37
1631,36,99,4.59,9.47
867,35,116,7.51,6.6
572,33,295,3.52,10.29
1231,27,93,7.19,7.68
1345,28,174,1.22,8.73
1571,24,107,3.76,9.08
875,25,52,5.94,4.87
289,16,135,6.69,4.11
1871,39,119,6.19,10.04
897,40,179,7.28,8.84
1539,23,264,1.05,11.67
1401,31,221,1.91,11.45
739,40,51,8.82,5.18
931,17,151,7.14,7.29
1068,38,258,2.02,11.53
240,20,84,8.58,3.19
939,19,147,3.18,6.87
1927,19,264,5.3,11.9
701,36,79,2.31,6.21
1158,29,165,7.39,8.44
1368,37,57,7.0,7.4
1424,31,199,2.9,10.12
1128,23,93,8.77,6.29
1947,17,235,4.61,11.02
660,34,85,3.63,6.2
931,40,246,2.37,10.56
951,31,126,3.4,7.86
1124,24,270,1.2,11.07
1108,17,80,6.25,6.15
1781,32,96,8.58,9.12
1770,32,298,5.94,13.45
1476,31,104,2.97,8.53
589,38,257,1.3,10.16
1817,17,155,2.93,10.01
1082,17,239,4.75,8.13
455,20,207,7.84,6.51
908,27,170,2.69,8.7
649,38,104,7.48,6.14
209,29,193,8.8,5.64
1023,39,61,5.09,6.69
997,23,194,8.39,7.12
1465,18,193,5.99,9.16
1474,28,189,6.73,9.78
1076,19,185,5.74,7.97
1228,16,261,5.17,9.87
1342,25,52,3.11,6.36
1215,23,193,3.73,9.11
573,38,79,3.61,6.2
1288,17,286,6.07,10.09
345,23,72,2.08,4.32
423,17,141,9.25,4.56
1462,39,164,7.49,9.72
376,16,153,4.61,5.15
1052,26,167,2.43,8.19
1505,24,54,8.94,6.97
262,23,261,8.41,6.89
1440,29,153,7.5,8.31
1026,22,297,3.44,10.57
994,39,157,4.62,8.89
888,19,114,1.92,5.73
1684,25,170,2.7,10.56
1833,16,79,8.05,7.9
304,38,198,7.44,6.73
1322,29,133,6.34,7.98
710,20,247,9.06,7.69
584,22,199,6.25,6.49
604,19,259,5.2,8.31
1022,30,249,4.06,10.11
717,40,280,9.46,9.46
675,32,81,1.74,5.62
908,20,210,9.38,8.18
1868,19,294,8.44,12.93
970,30,65,2.17,6.66
1660,27,253,6.08,11.49
1246,19,87,8.8,5.9
1196,27,293,6.15,11.27
1788,31,275,9.16,12.47
876,32,191,9.49,7.25
913,22,85,4.8,6.23
1681,27,274,4.4,12.92
282,33,200,9.43,6.91
1368,40,163,7.08,9.31
1308,17,286,2.04,10.48
1301,38,115,1.38,8.18
656,22,154,6.08,7.0
200,16,134,9.37,3.44
250,22,51,8.6,3.84
884,27,268,7.08,10.44
916,27,298,2.25,10.19
